А-02	НУ-1010/0/10	Виток=1026
02.08.2026
-----------------------------
23.58.05	169.2	00.06
23.58.10	169.5	02.68
23.58.15	169.9	05.24
23.58.20	170.4	07.76
23.58.25	171.0	10.24
23.58.30	171.7	12.68
23.58.35	172.5	15.08
23.58.40	173.4	17.44
23.58.45	174.4	19.76
23.58.50	175.5	22.04
23.58.55	176.7	24.28
23.59.00	178.0	26.48
23.59.05	179.4	28.64
23.59.10	180.9	30.76
23.59.15	182.5	32.84
23.59.20	184.2	34.88
23.59.25	186.0	36.88
23.59.30	187.9	38.84
23.59.35	189.9	40.76
23.59.40	192.0	42.64
23.59.45	194.2	44.48
23.59.50	196.5	46.28
23.59.55	198.9	48.04
00.00.00	201.4	49.76
00.00.05	204.0	51.44
00.00.10	206.7	53.08
00.00.15	209.5	54.68
00.00.20	212.4	56.24
00.00.25	215.4	57.76
00.00.30	218.5	59.24
00.00.35	221.7	60.68
00.00.40	225.0	62.08
00.00.45	228.4	63.44
00.00.50	231.9	64.76
00.00.55	235.5	66.04
00.01.00	239.2	67.28
00.01.05	243.0	68.48
00.01.10	246.9	69.64
00.01.15	250.9	70.76
00.01.20	255.0	71.84
00.01.25	259.2	72.88
00.01.30	263.5	73.88
00.01.35	267.9	74.84
00.01.40	272.4	75.76
00.01.45	277.0	76.64
00.01.50	281.7	77.48
00.01.55	286.5	78.28
00.02.00	291.4	79.04
00.02.05	296.4	79.76
00.02.10	301.5	80.44
00.02.15	306.7	81.08
00.02.20	312.0	81.68
00.02.25	317.4	82.24
00.02.30	322.9	82.76
00.02.35	328.5	83.24
00.02.40	334.2	83.68
00.02.45	340.0	84.08
00.02.50	345.9	84.44
00.02.55	351.9	84.76
00.03.00	358.0	85.04
00.03.05	004.2	85.28
00.03.10	010.5	85.48
00.03.15	016.9	85.64
00.03.20	023.4	85.76
00.03.25	030.0	85.84
00.03.30	036.7	85.88
00.03.35	043.3	85.88
00.03.40	049.8	85.84
00.03.45	056.2	85.76
00.03.50	062.5	85.64
00.03.55	068.7	85.48
00.04.00	074.8	85.28
00.04.05	080.8	85.04
00.04.10	086.7	84.76
00.04.15	092.5	84.44
00.04.20	098.2	84.08
00.04.25	103.8	83.68
00.04.30	109.3	83.24
00.04.35	114.7	82.76
00.04.40	120.0	82.24
00.04.45	125.2	81.68
00.04.50	130.3	81.08
00.04.55	135.3	80.44
00.05.00	140.2	79.76
00.05.05	145.0	79.04
00.05.10	149.7	78.28
00.05.15	154.3	77.48
00.05.20	158.8	76.64
00.05.25	163.2	75.76
00.05.30	167.5	74.84
00.05.35	171.7	73.88
00.05.40	175.8	72.88
00.05.45	179.8	71.84
00.05.50	183.7	70.76
00.05.55	187.5	69.64
00.06.00	191.2	68.48
00.06.05	194.8	67.28
00.06.10	198.3	66.04
00.06.15	201.7	64.76
00.06.20	205.0	63.44
00.06.25	208.2	62.08
00.06.30	211.3	60.68
00.06.35	214.3	59.24
00.06.40	217.2	57.76
00.06.45	220.0	56.24
00.06.50	222.7	54.68
00.06.55	225.3	53.08
00.07.00	227.8	51.44
00.07.05	230.2	49.76
00.07.10	232.5	48.04
00.07.15	234.7	46.28

-----------------------------
