А-02	НУ-1010/0/10	Виток=1028
31.08.2026
-----------------------------
22.57.50	033.2	00.06
22.58.00	036.3	02.68
22.58.10	039.3	05.24
22.58.20	042.3	07.76
22.58.30	045.2	10.24
22.58.40	048.1	12.68
22.58.50	050.9	15.08
22.59.00	053.7	17.44
22.59.10	056.4	19.76
22.59.20	059.1	22.04
22.59.30	061.8	24.28
22.59.40	064.4	26.48
22.59.50	066.9	28.64
23.00.00	069.4	30.76
23.00.10	071.9	32.84
23.00.20	074.3	34.88
23.00.30	076.6	36.88
23.00.40	078.9	38.84
23.00.50	081.2	40.76
23.01.00	083.4	42.64
23.01.10	085.5	44.48
23.01.20	087.6	46.28
23.01.30	089.7	48.04
23.01.40	091.7	49.76
23.01.50	093.7	51.44
23.02.00	095.6	53.08
23.02.10	097.5	54.68
23.02.20	099.3	56.24
23.02.30	101.1	57.76
23.02.40	102.8	59.24
23.02.50	104.5	60.68
23.03.00	106.1	62.08
23.03.10	107.7	63.44
23.03.20	109.2	64.76
23.03.30	110.7	66.04
23.03.40	112.2	67.28
23.03.50	113.6	68.48
23.04.00	114.9	69.64
23.04.10	116.2	70.76
23.04.20	117.5	71.84
23.04.30	118.7	72.88
23.04.40	119.8	73.88
23.04.50	120.9	74.84
23.05.00	122.0	75.76
23.05.10	123.0	76.64
23.05.20	123.9	77.48
23.05.30	124.8	78.28
23.05.40	125.7	79.04
23.05.50	126.5	79.76
23.06.00	127.3	80.44
23.06.10	128.0	81.08
23.06.20	128.7	81.68
23.06.30	129.3	82.24
23.06.40	129.9	82.76
23.06.50	130.4	83.24
23.07.00	130.9	83.68
23.07.10	131.3	84.08
23.07.20	131.7	84.44
23.07.30	132.0	84.76
23.07.40	132.3	85.04
23.07.50	132.6	85.28
23.08.00	132.8	85.48
23.08.10	132.9	85.64
23.08.20	133.0	85.76
23.08.30	133.1	85.84
23.08.40	133.1	85.88
23.08.50	133.0	85.88
23.09.00	132.9	85.84
23.09.10	132.8	85.76
23.09.20	132.6	85.64
23.09.30	132.3	85.48
23.09.40	132.0	85.28
23.09.50	131.7	85.04
23.10.00	131.3	84.76
23.10.10	130.9	84.44
23.10.20	130.4	84.08
23.10.30	129.9	83.68
23.10.40	129.3	83.24
23.10.50	128.7	82.76
23.11.00	128.0	82.24
23.11.10	127.3	81.68
23.11.20	126.5	81.08
23.11.30	125.7	80.44
23.11.40	124.8	79.76
23.11.50	123.9	79.04
23.12.00	123.0	78.28
23.12.10	122.0	77.48
23.12.20	120.9	76.64
23.12.30	119.8	75.76
23.12.40	118.7	74.84
23.12.50	117.5	73.88
23.13.00	116.2	72.88
23.13.10	114.9	71.84
23.13.20	113.6	70.76
23.13.30	112.2	69.64
23.13.40	110.7	68.48
23.13.50	109.2	67.28
23.14.00	107.7	66.04
23.14.10	106.1	64.76
23.14.20	104.5	63.44
23.14.30	102.8	62.08
23.14.40	101.1	60.68
23.14.50	099.3	59.24
23.15.00	097.5	57.76
23.15.10	095.6	56.24
23.15.20	093.7	54.68
23.15.30	091.7	53.08
23.15.40	089.7	51.44
23.15.50	087.6	49.76
23.16.00	085.5	48.04
23.16.10	030.0	46.28



-----------------------------
